Location,Confirmed,Cpmp,Recovered,Deaths
New York,"3,97,684","20,392","70,435","31,143"
California,"2,23,995","5,944",No data,"5,979"
New Jersey,"1,73,126","19,626","30,163","14,992"
Texas,"1,58,756","5,732","81,335","2,430"
Florida,"1,46,333","7,678",No data,"3,446"
Illinois,"1,43,885","11,181",No data,"7,115"
Massachusetts,"1,08,768","16,511","88,725","8,095"
Pennsylvania,"90,553","7,106","67,070","6,663"
Georgia,"74,816","7,622",No data,"2,739"
Arizona,"74,602","11,508","9,179","1,598"
Michigan,"70,356","7,124","49,290","6,165"
Maryland,"67,837","11,639","4,979","3,175"
North Carolina,"63,684","6,595","45,538","1,341"
Virginia,"62,189","7,681","8,023","1,740"
Louisiana,"57,189","12,501","39,792","3,199"
Ohio,"51,046","4,421",No data,"2,818"
Indiana,"46,370","7,115","31,739","2,624"
Connecticut,"46,362","12,948","8,053","4,320"
Tennessee,"41,388","6,463","23,567",585
Alabama,"37,175","7,740","15,974",929
Minnesota,"35,896","6,716","29,065","1,470"
South Carolina,"34,644","7,404","13,456",720
Washington,"34,036","4,983",No data,"1,321"
Colorado,"32,495","6,351","4,459","1,682"
Wisconsin,"31,110","5,447","19,543",786
Iowa,"28,874","9,429","22,870",712
Mississippi,"26,568","8,920","17,242","1,059"
Utah,"21,818","7,745","9,863",168
Missouri,"21,748","3,618",No data,"1,026"
Arkansas,"20,257","6,895","10,793",265
Nebraska,"19,064","10,346","11,980",273
Nevada,"17,971","6,599",689,505
Rhode Island,"16,764","15,946","1,627",946
Kentucky,"15,657","3,583","3,534",584
Kansas,"14,569","5,074",794,276
Oklahoma,"13,172","3,474","8,507",385
New Mexico,"11,982","5,754","5,296",493
Delaware,"11,376","12,541","6,459",507
District of Columbia,"10,292","16,248","1,182",551
Oregon,"8,494","2,194","2,533",206
Puerto Rico,"7,250","2,270",No data,153
South Dakota,"6,716","8,150","5,437",91
Idaho,"5,770","3,640","4,073",91
New Hampshire,"5,760","4,370","4,290",367
North Dakota,"3,548","5,188","2,952",88
Maine,"3,219","2,424","2,409",105
West Virginia,"2,870","1,547","1,726",93
Wyoming,"1,450","2,552",931,20
Guam,"1,224","7,100",173,6
Vermont,"1,208","1,928",926,56
Alaska,"1,085","1,483",491,12
Montana,919,921,550,22
Hawaii,884,630,669,18
U.S. Virgin Islands,81,775,64,6
Northern Mariana Islands,30,534,19,2
American Samoa,0,0,No data,0
