Pop_Rank,State,Est_Pop_2019,Perc_of_Tot_Pop
1,California,39512223,0.1191
2,Texas,28995881,0.0874
3,Florida,21477737,0.0647
4,New York,19453561,0.0586
5,Illinois,12671821,0.0386
6,Pennsylvania,12801989,0.0382
7,Ohio,11689100,0.0352
8,Georgia,10617423,0.032
9,North Carolina,10488084,0.0316
10,Michigan,9986857,0.0301
11,New Jersey,8882190,0.0268
12,Virginia,8535519,0.0257
13,Washington,7614893,0.0229
14,Arizona,7278717,0.0219
15,Massachusetts,6949503,0.0209
16,Tennessee,6833174,0.0206
17,Indiana,6732219,0.0203
18,Missouri,6137428,0.0185
19,Maryland,6045680,0.0182
20,Wisconsin,5822434,0.0175
21,Colorado,5758736,0.0174
22,Minnesota,5639632,0.017
23,South Carolina,5148714,0.0155
24,Alabama,4903185,0.0148
25,Louisiana,4648794,0.014
26,Kentucky,4467673,0.0135
27,Oregon,4217737,0.0127
28,Oklahoma,3956971,0.0119
29,Connecticut,3565287,0.0107
30,Utah,3205958,0.0097
31,Iowa,3155070,0.0095
32,Nevada,3080156,0.0093
33,Arkansas,3017825,0.0091
34,Mississippi,2976149,0.009
35,Kansas,2913314,0.0088
36,New Mexico,2096829,0.0063
37,Nebraska,1934408,0.0058
38,West Virginia,1792147,0.0054
39,Idaho,1787065,0.0054
40,Hawaii,1415872,0.0043
41,New Hampshire,1359711,0.0041
42,Maine,1344212,0.0041
43,Montana,1068778,0.0032
44,Rhode Island,1059361,0.0032
45,Delaware,973764,0.0029
46,South Dakota,884659,0.0027
47,North Dakota,762062,0.0023
48,Alaska,731545,0.0022
49,DC,705749,0.0021
50,Vermont,623989,0.0019
51,Wyoming,578759,0.0017
